REGIONE,LISTA,VOTI_LISTA
PUGLIA,EUROPA VERDE,31667
PUGLIA,FORZA ITALIA,177304
PUGLIA,FORZA NUOVA,2209
PUGLIA,FRATELLI D'ITALIA,141865
PUGLIA,LA SINISTRA,34800
PUGLIA,LEGA SALVINI PREMIER,403424
PUGLIA,MOVIMENTO 5 STELLE,419344
PUGLIA,PARTITO ANIMALISTA,9342
PUGLIA,PARTITO COMUNISTA,11190
PUGLIA,PARTITO DEMOCRATICO,265412
PUGLIA,PARTITO PIRATA,2583
PUGLIA,POPOLARI PER L'ITALIA,6807
PUGLIA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,5604
SARDEGNA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,10269
SARDEGNA,CASAPOUND ITALIA - DESTRE UNITE,1590
SARDEGNA,EUROPA VERDE,7863
SARDEGNA,FORZA ITALIA,38389
SARDEGNA,FORZA NUOVA,366
SARDEGNA,FRATELLI D'ITALIA,30681
SARDEGNA,LA SINISTRA,10710
SARDEGNA,LEGA SALVINI PREMIER,135496
SARDEGNA,MOVIMENTO 5 STELLE,126301
SARDEGNA,PARTITO ANIMALISTA,2019
SARDEGNA,PARTITO COMUNISTA,4299
SARDEGNA,PARTITO DEMOCRATICO,119260
SARDEGNA,PARTITO PIRATA,1160
SARDEGNA,POPOLARI PER L'ITALIA,817
SARDEGNA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,2234
SICILIA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,29089
SICILIA,CASAPOUND ITALIA - DESTRE UNITE,3549
SICILIA,EUROPA VERDE,18009
SICILIA,FORZA ITALIA,261340
SICILIA,FORZA NUOVA,2017
SICILIA,FRATELLI D'ITALIA,117131
SICILIA,LA SINISTRA,22487
SICILIA,LEGA SALVINI PREMIER,319439
SICILIA,MOVIMENTO 5 STELLE,479562
SICILIA,PARTITO ANIMALISTA,7618
SICILIA,PARTITO COMUNISTA,7134
SICILIA,PARTITO DEMOCRATICO,255741
SICILIA,PARTITO PIRATA,2370
SICILIA,POPOLARI PER L'ITALIA,3836
SICILIA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,8613
